customerID,name,city,state,dob,age,pan,aadhaar,voter_id,passport,pan_aadhaar_linked
128,Priya Iyer,Bangalore,Karnataka,08-12-1997,28,TWYVZ0318W,311850061975.00,,,Yes
129,Manish Verma,Chennai,Tamil Nadu,31-12-1981,44,OZGAY5242Q,125476455472.00,,,Yes
130,Arjun Kapoor,Hyderabad,Telangana,22-02-1989,37,AaWh2ZIY,481423656594.00,BDXCAU1230,CFB2RUZ0,No
131,Ashish Kaur,Delhi,Delhi,10-09-1974,51,92DMBIqW,954459602250.00,QPHRP6SRIV,,Yes
132,Ritika Iyer,Hyderabad,Telangana,11-08-1968,57,LOHJL7343G,708158879856.00,IKPUGBMIZ6,,No
133,Amit Kaur,Pune,Maharashtra,14-10-1983,42,ECHEK4842C,71588589.00,,,Yes
134,Divya Singh,Bangalore,Karnataka,27-12-1973,52,CLJLF3476S,639386565693.00,,EEI6114B,Yes
135,Meena Sharma,Chennai,Tamil Nadu,25-11-1974,51,FSFZW0056M,931526804684.00,UPTL5B8TIO,,No
136,Ritika Singh,Bangalore,Karnataka,26-07-1968,57,WUVMP7650P,26784454159.00,EN9HPF1JD7,,Yes
137,Amit Kumar,Delhi,Delhi,29-07-2005,20,WLYRM2584M,927360482991.00,BGH6VFLVH1,G3N2FSV7,Yes
138,Pooja Kumar,Pune,Maharashtra,02-02-1973,53,XTWEZ1591V,416747238571.00,DQ30CZQINC,,No
139,Amit Kaur,Delhi,Delhi,25-05-1988,37,XPuPMq6T,219062664388.00,8BH3R5D0ED,UY5LFLXT,No
140,Karan Kaur,Hyderabad,Telangana,29-10-1984,41,WNSOG2067A,531467324813.00,,,Yes
141,Ankit Kaur,Mumbai,Maharashtra,05-06-2000,25,GFMJJ4754T,295269807050.00,,,Yes
142,Vikas Iyer,Delhi,Delhi,17-12-1978,47,GKYPH8718B,27747124841.00,6LN7M15LZT,,Yes
143,Pooja Mehta,Chennai,Tamil Nadu,15-11-1966,59,HROHH6407Y,548524539019.00,VWCEWZDW9L,YRZ7IQQ3,No
144,Priya Singh,Delhi,Delhi,02-12-1997,28,TRLNJ8953K,488864339366.00,CHA7NKII9W,R68HRGMO,Yes
145,Amit Gupta,Delhi,Delhi,14-05-1981,44,MOQUM2343X,533020284623.00,PHPMHJAUHW,,No
146,Ritika Gupta,Delhi,Delhi,07-07-1975,50,TPQFV9285U,037024557987,DJKBZ0YHG8,,Yes
147,Ritika Iyer,Delhi,Delhi,14-02-1986,40,gTTndCo7,312629826815.00,AS4Q61FZZK,,No
148,Rohit Kumar,Bangalore,Karnataka,26-05-1976,49,AKJEH6820J,,FZVSVP6X30,,No
149,Kavya Gupta,Pune,Maharashtra,14-07-1994,31,,971623274103.00,,XKXMGML8,No
150,Ashish Nair,Bangalore,Karnataka,31-01-1979,47,,742778792628.00,,,No
151,Manish Verma,Bangalore,Karnataka,07-07-2004,21,vHTvwAeJ,484727254949.00,,,No
152,Ravi Iyer,Delhi,Delhi,01-05-1985,40,,013418591150,,,Yes
153,Meena Nair,Chennai,Tamil Nadu,22-11-1966,59,YQUEM7407D,930128279062.00,D68YMWLZEU,U58ATJ1F,Yes
154,Meena Patel,Delhi,Delhi,08-06-1992,33,,673669973266.00,,90848U23,No
155,Karan Kapoor,Hyderabad,Telangana,22-06-1997,28,EUCDK1621R,86689309888.00,SFBMQ6RHB0,3Z1ZNKCO,Yes
156,Sneha Kapoor,Pune,Maharashtra,07-10-2003,22,OWBSI4620T,8702169137.00,C6UP48DNKI,,Yes
157,Ravi Kumar,Mumbai,Maharashtra,04-09-1975,50,UFAEF4981B,184955163047.00,,,Yes
158,Amit Singh,Delhi,Delhi,25-03-1998,28,6lER8FU2,391418755175.00,Z363ABJTOI,,No
159,Divya Nair,Delhi,Delhi,22-02-1991,35,FXXOH2064X,000953026049,,,No
160,Sneha Kapoor,Delhi,Delhi,13-11-1989,36,SEFON8008U,,1AI0BF8AJ9,,No
161,Priya Iyer,Mumbai,Maharashtra,13-06-1990,35,FMUNM4015S,,B65X3Y8598,,Yes
162,Divya Kaur,Pune,Maharashtra,15-11-1979,46,BHGYD6396B,,7D64D4V7IL,,No
163,Rohit Mehta,Bangalore,Karnataka,28-08-1981,44,ESMYT7035Z,621327903414.00,E8M85D3QDG,,Yes
164,Priya Iyer,Chennai,Tamil Nadu,20-05-1986,39,MDSJH9805T,208790146522.00,,WMXPKTY5,No
165,Karan Kumar,Delhi,Delhi,09-12-1971,54,WWJYJ7866S,940310332365.00,ULE9793CG2,13KKABD0,No
166,Rohit Verma,Pune,Maharashtra,15-12-1982,43,LUOVC3699O,102772107755.00,BREJKK0045,,No
167,Ritika Verma,Pune,Maharashtra,21-04-1982,43,LJUKZ4550X,,,3DFAAMQC,No
168,Vikas Patel,Pune,Maharashtra,27-12-1980,45,CCQPR9991X,355939198422.00,3F9E3ZF44D,JYDSJXL3,No
169,Sneha Kumar,Mumbai,Maharashtra,05-11-2002,23,NFDXG4406P,355588768847.00,TZ2V1DRXDV,,No
170,Karan Patel,Pune,Maharashtra,27-08-1971,54,FPOHI9964U,114331545310.00,YHKFMSCYY6,,No
171,Sneha Sharma,Mumbai,Maharashtra,23-07-1970,55,WVJHD9203L,,GIXXFZ22E5,8J3BGPV5,Yes
172,Rahul Mehta,Delhi,Delhi,29-06-1996,29,UXPMU2064S,139510955235.00,166YWFFB4P,,No
173,Rahul Kumar,Hyderabad,Telangana,05-05-2003,22,,799138785649.00,8D2V3IUETP,01580OEK,Yes
174,Arjun Kumar,Pune,Maharashtra,19-03-1994,32,TJSMX3156F,145546829496.00,,SWXT7CBC,No
175,Simran Kapoor,Hyderabad,Telangana,16-07-1968,57,VJTBL6736W,,4DRBJQ306J,DFD91UJF,No
176,Ravi Kapoor,Chennai,Tamil Nadu,05-03-1995,31,OBWGX3835N,870912396454.00,RVB77LL10B,0SCH1ZTF,Yes
177,Deepak Nair,Chennai,Tamil Nadu,16-08-1989,36,VkJ21SJT,550152718563.00,,,Yes
178,Karan Patel,Pune,Maharashtra,12-09-1975,50,AJVRZ8454A,773812628565.00,MLINXJTJZL,A78PZ7XX,No
179,Divya Gupta,Bangalore,Karnataka,26-10-1992,33,IFXKN3625K,,W5OEN61RDE,WK2T1WAH,Yes
180,Rahul Kapoor,Hyderabad,Telangana,10-10-1990,35,DLALK1551C,91938345.00,94ZZUUE4HW,,No
181,Priya Kumar,Bangalore,Karnataka,08-03-1988,38,PGXCG1460W,205595932609.00,Q8XG1TOIKC,B3B5OI87,No
182,Sneha Mehta,Pune,Maharashtra,10-06-1985,40,NWDTZ8279V,805020205122.00,F1QBMSLT23,,No
183,Deepak Singh,Bangalore,Karnataka,05-09-1979,46,OMDBH9779K,69846828.00,,,No
184,Simran Mehta,Delhi,Delhi,21-12-1976,49,XOTTT1038Y,339256968220.00,,,No
185,Manish Verma,Mumbai,Maharashtra,12-08-1967,58,EDQJO1414S,738181980273.00,Z1VU2U0TTR,,Yes
186,Karan Kaur,Bangalore,Karnataka,21-05-1971,54,ZKKGB0247K,687582108704.00,5A1ZL2WGLZ,507D48LY,Yes
187,Pooja Singh,Pune,Maharashtra,26-12-1977,48,JUSHC3776J,130525655530.00,,NUBQ1SYS,Yes
188,Priya Mehta,Bangalore,Karnataka,20-05-1996,29,CZPDP2478P,911909671005.00,CBYU9DUWGV,XYGNVGL1,No
189,Deepak Singh,Pune,Maharashtra,08-07-1990,35,KyQvTRg9,093023229009,,,Yes
190,Divya Kaur,Chennai,Tamil Nadu,24-05-1990,35,OIJWO2576E,2010947691.00,V41F6IUD1I,,Yes
191,Priya Mehta,Mumbai,Maharashtra,09-10-1969,56,KIIZJ2209I,,HCDN3EOZXB,7RI0YEP9,No
192,Kavya Kumar,Hyderabad,Telangana,22-06-1997,28,ARLDA8025H,028178869815,OF5GPHOEWR,,No
193,Deepak Iyer,Chennai,Tamil Nadu,29-08-1982,43,WQTFB2611H,809382315281.00,,,No
194,Deepak Kumar,Pune,Maharashtra,15-03-1988,38,GTNRO5925R,464441555288.00,3MBFK7L6B6,DWXGCE35,No
195,Pooja Kaur,Chennai,Tamil Nadu,21-02-1980,46,PUGNS0299Z,141918853025.00,AM1MPYFUOS,,No
196,Simran Kapoor,Mumbai,Maharashtra,27-03-1965,61,EIYLD2126U,73786566217.00,MJXWYG27OV,GLH7RC7T,No
197,Meena Gupta,Chennai,Tamil Nadu,22-02-1995,31,KIZCD3989Q,164381135311.00,N74K5V6I4U,A1YDITE3,No
198,Karan Singh,Delhi,Delhi,26-03-1967,59,VDFIN6044M,679020168091.00,QHY5P61965,ODX6P44K,No
199,Neha Iyer,Pune,Maharashtra,18-07-1985,40,LpNjWhkR,935230467290.00,,,Yes
200,Ravi Singh,Mumbai,Maharashtra,28-12-1969,56,WSZKI1079V,165295402854.00,MG4SKODYBZ,,No
201,Simran Iyer,Hyderabad,Telangana,05-08-2003,22,,382272603651.00,,,Yes
202,Amit Iyer,Delhi,Delhi,21-03-1982,44,,201200728468.00,6F52DNEAO3,3DYYCZZJ,No
203,Sneha Singh,Bangalore,Karnataka,22-01-1981,45,DVDTJ5199S,773609652277.00,GX7IS7I7YU,,Yes
204,Amit Sharma,Chennai,Tamil Nadu,29-10-1980,45,TOYYE7385L,,,,Yes
205,Ravi Mehta,Delhi,Delhi,22-11-1987,38,JEXHE9901R,043241725209,,H05ZEHP6,Yes
206,Rohit Patel,Mumbai,Maharashtra,21-04-1979,46,AQEGZ7735L,179203456773.00,OWU6NLZCUB,B0VO5HC6,Yes
207,Neha Kumar,Chennai,Tamil Nadu,20-12-2003,22,PADJJ8494E,50779984203.00,,1FNHR0GS,No
208,Amit Gupta,Bangalore,Karnataka,22-12-2002,23,SPGWG3157O,8679070366.00,6DA9LX045M,,Yes
209,Pooja Nair,Hyderabad,Telangana,06-09-2004,21,CNYYE1678O,784185354442.00,RBOFCKOYWJ,69SCJ0DB,No
210,Amit Nair,Pune,Maharashtra,03-12-2001,24,n0brQqhu,280491770523.00,1PI6Z4Q0EU,,No
211,Simran Kapoor,Hyderabad,Telangana,04-07-1969,56,ZKVIE4853V,025933600405,,,No
212,Ritika Singh,Bangalore,Karnataka,02-10-1984,41,UHANJ6435O,261742678110.00,0YDTMNZO85,NTE7RBHP,No
213,Amit Mehta,Bangalore,Karnataka,19-08-1997,28,XFCCY4536E,817073776096.00,6HEIH7NET7,,Yes
214,Arjun Mehta,Mumbai,Maharashtra,21-01-1967,59,MIFXU4260B,15358182.00,ACJMK8JC9P,XR9JDTG6,No
215,Ashish Kumar,Pune,Maharashtra,18-11-1968,57,BDOOM8795P,016548816421,ENDT1S6CL3,,Yes
216,Ashish Gupta,Bangalore,Karnataka,26-06-1979,46,BEZWD4857D,72803764815.00,U7UN0MHRLO,,No
217,Rahul Singh,Mumbai,Maharashtra,08-03-1988,38,,247387828244.00,RA5S2K0TD0,,Yes
218,Deepak Kaur,Chennai,Tamil Nadu,06-01-1977,49,DMOGL4011W,248481085208.00,I78ZBZH3RB,CLPIFYI4,Yes
219,Simran Patel,Hyderabad,Telangana,21-08-2003,22,ZAMDO6991V,980635856318.00,2M0QGD97NT,1HN7K5N9,Yes
220,Amit Kaur,Delhi,Delhi,06-01-1973,53,SXBWJ1227G,629292603510.00,ZUKAE1JLHF,,Yes
